locus_tag,KG_FM,KG_FG,KG_PC,KG_PG,KG_PW
b3870,Exosome,signaling and cellular processes,Metabolism; Environmental Information Processing,Carbohydrate metabolism; Energy metabolism; Amino acid metabolism; Signal transduction,"Glyoxylate and dicarboxylate metabolism; Nitrogen metabolism; Alanine, aspartate and glutamate metabolism; Arginine biosynthesis; Two-component system"
b3874,Transporters,signaling and cellular processes,,,
b3875,Transporters,signaling and cellular processes,,,
b3878,,,Metabolism,Carbohydrate metabolism,Sulfoquinovose metabolism
b3879,,,Metabolism,Carbohydrate metabolism,Sulfoquinovose metabolism
b3880,,,Metabolism,Carbohydrate metabolism,Sulfoquinovose metabolism
b3881,,,Metabolism,Carbohydrate metabolism,Sulfoquinovose metabolism
b3882,,,Metabolism,Carbohydrate metabolism,Butanoate metabolism; Sulfoquinovose metabolism
b3883,,,Metabolism,Carbohydrate metabolism,Sulfoquinovose metabolism
b3884,Transcription factors,genetic information processing,,,
b3885,,,Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
b3887,Transfer RNA biogenesis,genetic information processing,,,
b3892,,,Metabolism,Carbohydrate metabolism; Energy metabolism,Glyoxylate and dicarboxylate metabolism; Methane metabolism
b3893,,,Metabolism,Carbohydrate metabolism; Energy metabolism,Glyoxylate and dicarboxylate metabolism; Methane metabolism
b3894,,,Metabolism,Carbohydrate metabolism; Energy metabolism,Glyoxylate and dicarboxylate metabolism; Methane metabolism
b3897,Transcription factors,genetic information processing,,,
b3898,Peptidases and inhibitors,metabolism,,,
b3899,Transporters,signaling and cellular processes,,,
b3900,Transporters,signaling and cellular processes,,,
b3902,,,Metabolism,Carbohydrate metabolism,Pentose and glucuronate interconversions; Fructose and mannose metabolism
b3903,,,Metabolism,Carbohydrate metabolism,Fructose and mannose metabolism
b3904,,,Metabolism,Carbohydrate metabolism,Pentose and glucuronate interconversions; Fructose and mannose metabolism
b3905,Transcription factors,genetic information processing,,,
b3906,Transcription factors,genetic information processing,,,
b3907,Transporters,signaling and cellular processes,,,
b3908,,,Cellular Processes,Transport and catabolism,Peroxisome
b3909,Transporters,signaling and cellular processes,,,
b3911,Protein kinases; Two-component system,metabolism; signaling and cellular processes,Environmental Information Processing; Human Diseases,Signal transduction; Drug resistance: antimicrobial,Two-component system; Cationic antimicrobial peptide (CAMP) resistance
b3912,Two-component system,signaling and cellular processes,Environmental Information Processing; Human Diseases,Signal transduction; Drug resistance: antimicrobial,Two-component system; Cationic antimicrobial peptide (CAMP) resistance
b3915,Transporters,signaling and cellular processes,,,
b3916,Protein phosphatases and associated proteins; Messenger RNA biogenesis,metabolism; genetic information processing,Metabolism; Genetic Information Processing,"Carbohydrate metabolism; Energy metabolism; Folding, sorting and degradation",Glycolysis / Gluconeogenesis; Pentose phosphate pathway; Fructose and mannose metabolism; Galactose metabolism; Methane metabolism; RNA degradation
b3917,Transporters,signaling and cellular processes,Metabolism; Environmental Information Processing,Energy metabolism; Membrane transport,Sulfur metabolism; ABC transporters
b3918,,,Metabolism,Lipid metabolism,Glycerophospholipid metabolism
b3919,Exosome,signaling and cellular processes,Metabolism,Carbohydrate metabolism; Energy metabolism,Glycolysis / Gluconeogenesis; Fructose and mannose metabolism; Inositol phosphate metabolism; Carbon fixation by Calvin cycle
b3925,,,Metabolism,Carbohydrate metabolism; Energy metabolism,Glycolysis / Gluconeogenesis; Pentose phosphate pathway; Fructose and mannose metabolism; Carbon fixation by Calvin cycle; Methane metabolism
b3926,Exosome,signaling and cellular processes,Metabolism,Lipid metabolism,Glycerolipid metabolism
b3927,Transporters,signaling and cellular processes,,,
b3928,Chromosome and associated proteins,genetic information processing,,,
b3929,Messenger RNA biogenesis,genetic information processing,,,
b3930,Prenyltransferases,metabolism,Metabolism,Metabolism of cofactors and vitamins,Ubiquinone and other terpenoid-quinone biosynthesis
b3931,Chaperones and folding catalysts,genetic information processing,,,
b3932,Peptidases and inhibitors,metabolism,,,
b3933,Chromosome and associated proteins,genetic information processing,,,
b3934,Transcription factors,genetic information processing,,,
b3935,DNA repair and recombination proteins,genetic information processing,Genetic Information Processing,Replication and repair,Homologous recombination
b3936,Ribosome,genetic information processing,Genetic Information Processing,Translation,Ribosome
b3938,Transcription factors,genetic information processing,,,
b3939,,,Metabolism,Energy metabolism; Amino acid metabolism; Metabolism of other amino acids,Sulfur metabolism; Cysteine and methionine metabolism; Selenocompound metabolism
b3940,,,Metabolism,Amino acid metabolism; Biosynthesis of other secondary metabolites,"Glycine, serine and threonine metabolism; Cysteine and methionine metabolism; Lysine biosynthesis; Monobactam biosynthesis"
b3941,,,Metabolism,Energy metabolism; Metabolism of cofactors and vitamins,Other carbon fixation pathways; One carbon pool by folate
b3942,,,Metabolism,Amino acid metabolism,Phenylalanine metabolism; Tryptophan metabolism
b3945,,,Metabolism,Carbohydrate metabolism; Lipid metabolism,Propanoate metabolism; Glycerolipid metabolism
b3947,Transporters,signaling and cellular processes,,,
b3949,Transporters,signaling and cellular processes,,,
b3950,Transporters,signaling and cellular processes,,,
b3953,Transporters,signaling and cellular processes,,,
b3955,Lipopolysaccharide biosynthesis proteins,metabolism,Metabolism,Glycan biosynthesis and metabolism,Lipopolysaccharide biosynthesis
b3956,,,Metabolism,Carbohydrate metabolism; Energy metabolism,Pyruvate metabolism; Carbon fixation by Calvin cycle; Other carbon fixation pathways; Methane metabolism
b3957,,,Metabolism,Amino acid metabolism,Arginine biosynthesis
b3958,,,Metabolism,Amino acid metabolism,Arginine biosynthesis
b3959,,,Metabolism,Amino acid metabolism,Arginine biosynthesis
b3960,Exosome,signaling and cellular processes,Metabolism,Amino acid metabolism,"Alanine, aspartate and glutamate metabolism; Arginine biosynthesis"
b3961,Transcription factors,genetic information processing,Cellular Processes,Cellular community - prokaryotes,Biofilm formation - Escherichia coli
b3962,,,Metabolism,Metabolism of cofactors and vitamins,Nicotinate and nicotinamide metabolism
b3963,Transcription factors,genetic information processing,,,
b3965,Transfer RNA biogenesis,genetic information processing,,,
b3966,Transporters,signaling and cellular processes,,,
b3967,Peptidoglycan biosynthesis and degradation proteins,metabolism,Metabolism,Metabolism of other amino acids,D-Amino acid metabolism
b3968,Ribosome; Non-coding RNAs,genetic information processing; RNA family,Genetic Information Processing,Translation,Ribosome
b3969,Non-coding RNAs,RNA family,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
b3970,Ribosome; Non-coding RNAs,genetic information processing; RNA family,Genetic Information Processing,Translation,Ribosome
b3971,Ribosome; Non-coding RNAs,genetic information processing; RNA family,Genetic Information Processing,Translation,Ribosome
b3972,Peptidoglycan biosynthesis and degradation proteins,metabolism,Metabolism,Glycan biosynthesis and metabolism,Amino sugar and nucleotide sugar metabolism; Peptidoglycan biosynthesis
b3973,Transcription factors,genetic information processing,Metabolism,Metabolism of cofactors and vitamins,Biotin metabolism
b3974,,,Metabolism,Metabolism of cofactors and vitamins,Pantothenate and CoA biosynthesis
b3976,Non-coding RNAs,RNA family,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
b3977,Non-coding RNAs,RNA family,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
b3978,Non-coding RNAs,RNA family,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
b3979,Non-coding RNAs,RNA family,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
b3980,Translation factors; Mitochondrial biogenesis; Exosome,genetic information processing; signaling and cellular processes,,,
b3981,Secretion system,signaling and cellular processes,Genetic Information Processing; Environmental Information Processing; Cellular Processes,"Folding, sorting and degradation; Membrane transport; Cellular community - prokaryotes",Protein export; Bacterial secretion system; Quorum sensing
b3982,Transcription machinery; Ribosome biogenesis,genetic information processing,,,
b3983,Ribosome,genetic information processing,Genetic Information Processing,Translation,Ribosome
b3984,Ribosome,genetic information processing,Genetic Information Processing,Translation,Ribosome
b3985,Ribosome,genetic information processing,Genetic Information Processing,Translation,Ribosome
b3986,Ribosome,genetic information processing,Genetic Information Processing,Translation,Ribosome
b3987,Transcription machinery; DNA repair and recombination proteins,genetic information processing,Genetic Information Processing,Transcription,RNA polymerase
b3988,Transcription machinery; DNA repair and recombination proteins,genetic information processing,Genetic Information Processing,Transcription,RNA polymerase
b3990,,,Metabolism,Metabolism of cofactors and vitamins,Thiamine metabolism
b3991,,,Metabolism,Metabolism of cofactors and vitamins,Thiamine metabolism
b3992,,,Metabolism; Genetic Information Processing,"Metabolism of cofactors and vitamins; Folding, sorting and degradation",Thiamine metabolism; Sulfur relay system
b3993,,,Metabolism,Metabolism of cofactors and vitamins,Thiamine metabolism
b3994,,,Metabolism,Metabolism of cofactors and vitamins,Thiamine metabolism
b3996,,,Metabolism; Cellular Processes,Metabolism of cofactors and vitamins; Transport and catabolism,Nicotinate and nicotinamide metabolism; Peroxisome
b3997,,,Metabolism,Metabolism of cofactors and vitamins,Porphyrin metabolism
b3998,DNA repair and recombination proteins,genetic information processing,,,
b4000,DNA replication proteins; Chromosome and associated proteins; DNA repair and recombination proteins,genetic information processing,,,
b4002,Chaperones and folding catalysts,genetic information processing,Environmental Information Processing,Signal transduction,Two-component system
b4003,Protein kinases; Two-component system,metabolism; signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b4004,Two-component system,signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b4005,,,Metabolism,Nucleotide metabolism,Purine metabolism
b4006,Exosome,signaling and cellular processes,Metabolism,Nucleotide metabolism; Metabolism of cofactors and vitamins,Purine metabolism; One carbon pool by folate
b4007,Ribosome; Non-coding RNAs,genetic information processing; RNA family,Genetic Information Processing,Translation,Ribosome
b4008,Non-coding RNAs,RNA family,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
b4009,Ribosome; Non-coding RNAs,genetic information processing; RNA family,Genetic Information Processing,Translation,Ribosome
b4010,Ribosome; Non-coding RNAs,genetic information processing; RNA family,Genetic Information Processing,Translation,Ribosome
b4013,,,Metabolism,Energy metabolism; Amino acid metabolism,Sulfur metabolism; Cysteine and methionine metabolism
